timestamp,instrument,side,price,quantity
2022-11-01 09:33:00,BANKNIFTY22110341700CE,SELL,203.75,1
2022-11-01 09:33:00,BANKNIFTY22110341600CE,BUY,250.8,1
2022-11-01 09:33:00,BANKNIFTY22110341600PE,BUY,333.1,1
2022-11-01 09:33:01,BANKNIFTY22110341600CE,SELL,252.1,1
2022-11-01 09:33:01,BANKNIFTY22110341600PE,SELL,332.25,1
2022-11-01 09:33:01,BANKNIFTY22110341700PE,BUY,385.85,1
2022-11-01 09:33:01,BANKNIFTY22110341700CE,BUY,204.45,1
2022-11-01 09:34:27,BANKNIFTY22110341700PE,SELL,389.0,1
2022-11-01 09:34:27,BANKNIFTY22110341700CE,SELL,204.3,1
2022-11-01 09:34:27,BANKNIFTY22110341600CE,BUY,250.55,1
2022-11-01 09:34:27,BANKNIFTY22110341600PE,BUY,335.5,1
2022-11-01 09:35:05,BANKNIFTY22110341600CE,SELL,253.05,1
2022-11-01 09:35:05,BANKNIFTY22110341600PE,SELL,331.0,1
2022-11-01 09:35:05,BANKNIFTY22110341700PE,BUY,384.65,1
2022-11-01 09:35:05,BANKNIFTY22110341700CE,BUY,206.85,1
2022-11-01 09:35:13,BANKNIFTY22110341700PE,SELL,392.0,1
2022-11-01 09:35:13,BANKNIFTY22110341700CE,SELL,201.9,1
2022-11-01 09:35:13,BANKNIFTY22110341600CE,BUY,248.6,1
2022-11-01 09:35:13,BANKNIFTY22110341600PE,BUY,337.4,1
2022-11-01 09:40:22,BANKNIFTY22110341600CE,SELL,252.95,1
2022-11-01 09:40:22,BANKNIFTY22110341600PE,SELL,332.45,1
2022-11-01 09:40:22,BANKNIFTY22110341700PE,BUY,386.2,1
2022-11-01 09:40:22,BANKNIFTY22110341700CE,BUY,205.95,1
2022-11-01 09:46:03,BANKNIFTY22110341700PE,SELL,345.0,1
2022-11-01 09:46:03,BANKNIFTY22110341700CE,SELL,261.0,1
2022-11-01 09:46:03,BANKNIFTY22110341800CE,BUY,215.85,1
2022-11-01 09:46:03,BANKNIFTY22110341800PE,BUY,400.0,1
2022-11-01 09:48:41,NIFTY22110318150CE,SELL,84.0,1
2022-11-01 09:48:41,NIFTY22110318150PE,SELL,99.45,1
2022-11-01 09:48:41,NIFTY22110318200CE,BUY,60.6,1
2022-11-01 09:48:41,NIFTY22110318200PE,BUY,127.0,1
2022-11-01 09:56:35,NIFTY22110318200CE,SELL,61.55,1
2022-11-01 09:56:35,NIFTY22110318200PE,SELL,127.35,1
2022-11-01 09:56:35,NIFTY22110318150CE,BUY,85.05,1
2022-11-01 09:56:35,NIFTY22110318150PE,BUY,100.8,1
2022-11-01 09:56:36,NIFTY22110318150CE,SELL,85.7,1
2022-11-01 09:56:36,NIFTY22110318150PE,SELL,100.25,1
